"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"AC.PA","Accor SA","Consumer Cyclical","Lodging","11839469568","15091787776","31.142857","18.887684","1.36","3.510221","2.099569","2.676","14.013","2.69","1.35","0.78260005","2.18","1780272000","5639000064","-0.012","0.22398001","0.16379","0.079619996","1076999936","0.09798","0.045739997","91.202","1204999936","4302000128","558625024","810000000","1.048","-0.436","50.14","50.18","52.0","37.54","45.4318","45.05865","0.88","935044","236128237","155719440","1.0"
"AI.PA","L'Air Liquide S.A.","Basic Materials","Specialty Chemicals","109827080192","120227299328","31.233273","24.443125","2.12","4.188776","4.076699","4.463","16.033","1.95","3.36","0.5428","1.83","1779062400","26940200960","-0.034","0.64175004","0.19473","0.13058","7498899968","0.13357","0.06305","50.657","3960800000","13650599936","1524087552","6518400000","1.173","0.053","172.72","172.86","189.8","154.86","174.97957","170.05128","0.644","961850","635867804","633408510","1.0"
"AIR.PA","Airbus SE","Industrials","Aerospace & Defense","150817161216","149699166208","30.265404","22.350344","1.68","5.780406","2.0794048","2.064","19.558","1.67","3.2","0.316","1.8","1776729600","72529002496","-0.066","0.15366","0.014780001","0.06913","7654000128","0.19748","0.024820002","55.655","15776000000","14570000384","-84125000","5888000000","1.14","-0.265","191.58","191.9","221.3","157.42","177.1416","189.49306","0.88","1376435","787228125","584154758","1.0"
"MT.AS","ArcelorMittal S.A.","Basic Materials","Steel","38961774592","50533498880","15.373135","8.281717","0.42","0.8067365","0.62830424","0.815","11.503","0.99","0.51","0.1832","1.39","1785974400","62010998784","0.045","0.074200004","0.048720002","0.047119997","4392999936","0.054330003","0.01051","23.917","4359000064","13683000320","-2022875008","5152999936","1.386","-0.279","51.5","52.52","62.6","25.94","54.8532","44.9033","1.734","2248905","756539353","420239420","1.0"
"CS.PA","AXA SA","Financial Services","Insurance - Diversified","88264957952","86456606720","12.687134","9.736187","1.25","1.8906317","0.9321367","0.913","7.222","5.35","2.32","0.6287","5.76","1778457600","94691000320","0.032","0.14503999","0.10537","0.10346","11971999744","0.13415","0.0101","113.518","69054996480","60343001088","10821374976","22670000128","1.928","0.598","43.39","43.41","43.84","36.55","40.8514","39.7349","0.605","3915067","2034223504","1539741099","1.0"
"BNP.PA","BNP Paribas SA","Financial Services","Banks - Regional","110556643328","","9.467924","7.7941284","3.12","0.8485669","2.2525344","","","9.84","9.95","0.6961","6.83","1779062400","49080999936","0.093","0.0","0.35636002","0.2545","","0.09575","0.00456","","1143160045568","653543014400","","","","0.12","100.36","101.12","103.0","65.12","93.4584","84.18735","1.051","2207253","1100099307","971999560","0.8095238095238095"
"EN.PA","Bouygues SA","Industrials","Engineering & Construction","18726522880","28985438208","15.373418","12.5306635","2.1","1.4363858","0.331572","0.513","6.209","4.32","2.1","0.6329","5.46","1777334400","56477999104","-0.032","0.56477","0.0032","0.02125","4668000256","0.09117","0.022550002","101.941","6659999744","15125000192","2713999872","5376000000","0.939","","48.58","49.75","53.48","35.39","50.4156","46.29895","0.7","847743","385478012","216344698","0.9761904761904762"
"BVI.PA","Bureau Veritas SA","Industrials","Consulting Services","11706097664","13453785088","20.122139","15.859741","2.79","6.834327","1.7520689","2.014","10.942","3.49","0.92","0.687","2.62","1779753600","6681299968","0.018","0.29119","0.18412","0.08801","1229600000","0.32172","0.09315","175.987","1368499968","3085400064","924249984","1006700032","1.526","-0.192","26.36","26.12","29.76","24.58","26.1784","27.03465","0.727","1169869","444085616","325334954","1.0"
"CAP.PA","Capgemini SE","Technology","Information Technology Services","15058341888","22036443136","9.819957","6.5387897","0.61","1.319402","0.67030233","0.981","7.607","3.76","3.4","0.37240002","1.83","1780358400","22464999424","0.037","0.27041999","0.11965","0.07127","2896999936","0.13695","0.0572","81.032","2814000128","9457999872","2106249984","2481999872","1.209","0.055","90.54","89.68","153.05","86.2","100.1918","117.7091","0.633","734339","166317007","169394057","1.0"
"CA.PA","Carrefour SA","Consumer Defensive","Grocery Stores","11615471616","27001823232","11.55986","8.74287","0.49","1.0561705","0.13856645","0.322","7.602","5.92","0.97","0.6479","4.5","1779753600","83825999872","","0.17942","0.025559999","0.0038100001","3552000000","0.08636","0.0238","180.581","6355999744","21071998976","2010249984","3948000000","0.875","","16.415","16.385","17.535","11.77","16.5752","14.794","0.618","2412088","707613254","587106065","0.9523809523809523"
"ACA.PA","Crédit Agricole S.A.","Financial Services","Banks - Regional","52768018432","-258934636544","8.190141","7.1769743","4.18","0.66706175","1.9925243","-9.777","","6.48","1.13","0.5159","8.02","1779753600","26482999296","-0.011","0.0","0.38424","0.26825002","","0.09276","0.00343","","839499972608","519500005376","","","","-0.084","17.445","17.52","19.145","15.29","17.0122","17.00535","0.813","5570376","3024822108","905283703","0.8571428571428571"
"BN.PA","Danone S.A.","Consumer Defensive","Packaged Foods","46258012160","54717050880","25.5461","17.148584","1.81","2.726103","1.6954886","2.006","12.241","3.12","2.25","0.7624","3.38","1777852800","27282999296","-0.005","0.50618","0.13709","0.06689","4470000128","0.108430006","0.05074","89.092","6570999808","15118000128","2491249920","3779000064","0.905","-0.025","72.04","72.12","80.14","60.64","64.9564","71.3997","0.199","1677064","642115656","628585729","1.0"
"DSY.PA","Dassault Systèmes SE","Technology","Software - Application","23757006848","21457420288","19.44086","12.826698","3.05","2.5847034","3.8491585","3.477","12.84","1.49","0.27","0.28260002","0.62","1779840000","6172000256","-0.041","0.83872","0.23382999","0.19896","1671100032","0.13416","0.058379997","26.856","4874899968","2479399936","1259175040","1765600000","1.701","0.108","18.08","17.93","33.16","15.825","19.0414","21.777475","0.511","2627357","1313993706","663602090","1.0"
