"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ADS.DE","adidas AG","Consumer Cyclical","Footwear & Accessories","32082419712","37163454464","23.432642","15.466628","0.97","5.2986145","1.2705908","1.472","15.049","1.55","2.8","0.2591","1.09","1778198400","25250000896","0.071","0.51362","0.1071","0.055209998","2469499904","0.22917","0.06625","93.747","873000000","5952000000","","","1.351","0.133","180.9","181.7","214.9","129.95","157.294","158.81775","1.202","667074","177348936","169042627","0.9523809523809523"
"AIR.PA","Airbus SE","Industrials","Aerospace & Defense","150817161216","149699166208","30.265404","22.350344","1.68","5.780406","2.0794048","2.064","19.558","1.67","3.2","0.316","1.8","1776729600","72529002496","-0.066","0.15366","0.014780001","0.06913","7654000128","0.19748","0.024820002","55.655","15776000000","14570000384","-84125000","5888000000","1.14","-0.265","191.58","191.9","221.3","157.42","177.1416","189.49306","0.88","1376435","787228125","584154758","1.0"
"ALV.DE","Allianz SE","Financial Services","Insurance - Diversified","155052228608","131158228992","13.204134","12.363882","2.84","2.3528464","1.3425016","1.136","6.651","4.19","17.1","0.49740002","4.8","1778198400","115495002112","0.088","0.24341999","0.19285999","0.10426","19718750208","0.18706","0.0115","","27517999104","0","","","174.873","0.524","408.8","407.9","410.7","334.1","386.372","373.155","0.667","659073","379286270","379229377","0.9285714285714286"
"BAS.DE","BASF SE","Basic Materials","Chemicals","41501384704","62900649984","27.605883","15.886234","0.7","1.2024084","0.7014161","1.063","10.879","4.79","2.25","1.3199","6.54","1777852800","59167997952","-0.03","0.23423","0.07678","0.02937","5782000128","0.044109996","0.01721","66.724","3180000000","23669000192","-1570625024","5794999808","1.913","0.166","46.93","47.76","55.05","41.21","51.416","47.3187","0.731","2844566","884325217","","0.9761904761904762"
"BAYN.DE","Bayer Aktiengesellschaft","Healthcare","Drug Manufacturers - General","45220978688","77564788736","","9.843631","4.65","1.5677259","0.9995354","1.714","7.636","0.24","0.11","1.6327001","2.98","1777248000","45241999360","-0.024","0.59918","0.26319","-0.04765","10158000128","-0.06928","0.03637","134.269","6659999744","38886998016","7314874880","5151000064","1.055","1.129","46.03","47.0","49.78","24.805","37.9316","36.473175","0.845","2964658","982424082","982420000","0.9761904761904762"
"BEI.DE","Beiersdorf Aktiengesellschaft","Consumer Defensive","Household & Personal Products","16437357568","14094357504","17.698824","16.67842","2.84","1.9110773","1.6684284","1.431","8.771","1.33","1.0","0.2353","0.74","1776988800","9852000256","-0.002","0.57714003","0.11214","0.09531","1607000064","0.11161","0.06568","2.518","2576999936","217000000","375249984","785000000","1.898","0.196","75.22","75.52","113.1","67.08","71.416","86.1142","0.48","461398","218523759","89533555","1.0"
"BMW.DE","Bayerische Motoren Werke Aktiengesellschaft","Consumer Cyclical","Auto Manufacturers","34909876224","133385879552","5.2752295","5.5959597","0.73","0.36479682","0.2670952","1.021","9.094","7.65","4.4","0.3843","6.12","1778716800","130702000128","-0.081","0.13136","0.06553","0.05217","14666999808","0.0709","0.020539999","112.684","15994999808","112183001088","2344892928","5855000064","1.173","","57.5","59.06","97.92","57.5","73.2244","82.8763","0.739","1388687","554226093","379594818","0.9761904761904762"
"BNR.DE","Brenntag SE","Basic Materials","Specialty Chemicals","7687077888","10399077376","33.6962","12.759278","1.14","1.7150958","0.52075183","0.704","11.116","3.51","1.9","1.3291","2.78","1779321600","14761499648","-0.101","0.25483","0.04915","0.015420001","935500032","0.05017","0.03803","74.834","705000000","3380999936","638225024","947699968","1.741","-0.269","53.24","54.18","63.76","43.72","58.1344","52.8585","0.507","360560","144385372","115508298","1.0"
"CBK.DE","Commerzbank AG","Financial Services","Banks - Regional","40637161472","-38088310784","17.07834","9.857248","0.94","1.1816849","3.5041099","-3.284","","2.97","1.1","0.29950002","2.92","1779321600","11596999680","0.043","0.0","0.44147998","0.23316","","0.08234","0.00503","","100426997760","20475000832","","","","0.151","37.06","37.83","38.86","26.23","36.403","34.06625","0.691","3144958","1096523505","829514845","0.8571428571428571"
"CON.DE","Continental Aktiengesellschaft","Consumer Cyclical","Auto Parts","14160423936","19614423040","","9.542088","6.0","3.2389407","0.7387919","1.023","7.846","3.81","2.7","0.4488","2.7","1777852800","19167000576","-0.104","0.26707","0.09372","-0.0017200001","2500000000","-0.044439998","0.03558","143.78","1383000064","6610999808","10488999936","1748000000","1.252","1.941","70.8","72.52","75.36","53.1","68.836","65.7946","1.316","454964","200005983","102053053","0.9761904761904762"
"DTG.DE","Daimler Truck Holding AG","Industrials","Farm & Heavy Construction Machinery","31062652928","50261655552","26.219355","8.852333","1.33","1.4180536","0.70592123","1.142","14.055","4.68","1.9","1.2102","","1778112000","44003000320","-0.133","0.17694001","0.0529","0.03125","3576000000","0.05414","0.023459999","133.29","11265000448","29920999424","214500000","3809999872","1.805","-0.769","40.64","41.21","45.19","33.46","41.6902","39.6146","0.915","1044344","764336944","534302136","0.9761904761904762"
"DBK.DE","Deutsche Bank Aktiengesellschaft","Financial Services","Banks - Regional","56486154240","-45873287168","9.373015","7.6102223","1.65","0.71202916","1.8939197","-1.538","","3.39","1.0","0.2152","2.72","1780012800","29824999424","0.012","0.0","0.37304002","0.22652","","0.08653","0.00481","","622900019200","519844986880","","","","0.071","29.525","29.63","34.26","23.815","28.0686","29.732676","1.0","5616281","1913163641","1801288674","0.8571428571428571"
"DB1.DE","Deutsche Börse AG","Financial Services","Financial Data & Stock Exchanges","43414052864","48080728064","21.24777","17.9132","2.99","4.1401825","5.758596","6.378","14.776","1.76","4.2","0.35650003","1.87","1778716800","7538999808","0.085","0.81231004","0.43556","0.27258","3254000128","0.19205","0.0065499996","65.438","2875000064","7120999936","","","1.011","0.122","238.4","238.3","279.1","200.1","251.702","231.8715","0.28","426626","182105935","182232055","0.9523809523809523"
"DHL.DE","Deutsche Post AG","Industrials","Integrated Freight & Logistics","58357342208","79878873088","16.873787","14.122694","2.7","2.485698","0.702728","0.962","10.207","3.63","1.9","0.5987","4.23","1778025600","83043999744","-0.019","0.17523001","0.072280005","0.04247","7825999872","0.15564999","0.047","121.823","7793999872","29056000000","5193999872","9619999744","1.095","0.072","52.14","52.36","53.4","37.14","49.7938","46.1785","1.127","2053302","1119243239","915593701","1.0"
"DTE.DE","Deutsche Telekom AG","Communication Services","Telecom Services","120079720448","288702595072","13.7127075","9.96583","1.13","1.8942227","0.98469585","2.367","6.88","3.81","1.0","1.0497","3.21","1775088000","121945997312","0.004","0.44491002","0.21365999","0.07222","41964998656","0.14428","0.053260002","161.874","8887000064","148968996864","18050500608","40329998336","1.18","-0.272","24.82","26.25","34.36","24.18","27.865","28.92285","0.293","7605769","4838022420","4138199100","1.0"
"EOAN.DE","E.ON SE","Utilities","Utilities - Diversified","47322845184","92127543296","13.824429","14.557761","0.95","2.1654909","0.6142872","1.196","9.548","3.15","0.57","0.41979998","4.26","1776988800","77037002752","-0.134","0.27811","0.17852","0.04459","9649000448","0.15358","0.03498","150.024","5426999808","43249000448","-3405900032","7433999872","0.95","3.214","18.11","18.02","20.39","14.595","18.3161","17.4394","0.82","4121654","2613077958","2139219180","1.0"
